nameWithOwner,url,createdAt,stargazers,releases
codecentric/spring-boot-admin,https://github.com/codecentric/spring-boot-admin,2014-07-25T11:39:13Z,11573,100
neo4j/neo4j,https://github.com/neo4j/neo4j,2012-11-12T08:46:15Z,11183,72
apache/zookeeper,https://github.com/apache/zookeeper,2009-03-27T15:41:56Z,11150,0
jfeinstein10/SlidingMenu,https://github.com/jfeinstein10/SlidingMenu,2012-06-30T05:14:23Z,11131,0
permissions-dispatcher/PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,2015-08-15T21:41:05Z,11100,40
redis/jedis,https://github.com/redis/jedis,2010-06-11T13:04:43Z,10964,74
DuGuQiuBai/Java,https://github.com/DuGuQiuBai/Java,2015-11-25T07:30:08Z,10852,0
H07000223/FlycoTabLayout,https://github.com/H07000223/FlycoTabLayout,2015-11-09T01:53:19Z,10815,4
code4craft/webmagic,https://github.com/code4craft/webmagic,2013-04-23T12:57:36Z,10757,23
lingochamp/FileDownloader,https://github.com/lingochamp/FileDownloader,2015-12-22T11:17:16Z,10750,65
mission-peace/interview,https://github.com/mission-peace/interview,2014-07-20T21:27:31Z,10705,0
pxb1988/dex2jar,https://github.com/pxb1988/dex2jar,2015-03-16T09:13:07Z,10701,6
android-async-http/android-async-http,https://github.com/android-async-http/android-async-http,2011-02-20T03:25:07Z,10646,3
zaproxy/zaproxy,https://github.com/zaproxy/zaproxy,2015-06-03T16:55:01Z,10610,309
careercup/CtCI-6th-Edition,https://github.com/careercup/CtCI-6th-Edition,2015-07-02T06:28:46Z,10567,0
tbruyelle/RxPermissions,https://github.com/tbruyelle/RxPermissions,2015-09-29T13:55:09Z,10427,11
grpc/grpc-java,https://github.com/grpc/grpc-java,2014-12-08T19:00:00Z,10417,137
questdb/questdb,https://github.com/questdb/questdb,2014-04-28T23:29:15Z,10262,62
JakeWharton/ViewPagerIndicator,https://github.com/JakeWharton/ViewPagerIndicator,2011-08-04T17:13:44Z,10187,0
square/javapoet,https://github.com/square/javapoet,2013-02-01T16:56:30Z,10106,0
google/auto,https://github.com/google/auto,2013-05-22T21:41:56Z,10046,57
jhy/jsoup,https://github.com/jhy/jsoup,2009-12-19T01:29:58Z,10033,9
apereo/cas,https://github.com/apereo/cas,2011-09-09T01:36:42Z,10019,241
clojure/clojure,https://github.com/clojure/clojure,2010-06-29T20:03:33Z,9906,0
wasabeef/glide-transformations,https://github.com/wasabeef/glide-transformations,2015-01-09T10:33:29Z,9746,0
HarlonWang/AVLoadingIndicatorView,https://github.com/HarlonWang/AVLoadingIndicatorView,2015-10-24T20:18:33Z,9697,1
googlesamples/easypermissions,https://github.com/googlesamples/easypermissions,2015-12-22T18:05:53Z,9641,12
TooTallNate/Java-WebSocket,https://github.com/TooTallNate/Java-WebSocket,2010-01-20T23:33:04Z,9634,14
liaohuqiu/android-Ultra-Pull-To-Refresh,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh,2014-11-13T03:13:10Z,9622,8
ksoichiro/Android-ObservableScrollView,https://github.com/ksoichiro/Android-ObservableScrollView,2014-11-08T14:45:20Z,9610,0
perwendel/spark,https://github.com/perwendel/spark,2011-05-05T11:52:05Z,9462,0
umano/AndroidSlidingUpPanel,https://github.com/umano/AndroidSlidingUpPanel,2013-05-31T18:33:53Z,9454,8
pockethub/PocketHub,https://github.com/pockethub/PocketHub,2011-09-08T16:52:50Z,9419,1
bilibili/DanmakuFlameMaster,https://github.com/bilibili/DanmakuFlameMaster,2013-08-11T12:18:50Z,9403,5
MyCATApache/Mycat-Server,https://github.com/MyCATApache/Mycat-Server,2014-12-04T02:46:54Z,9378,7
OpenRefine/OpenRefine,https://github.com/OpenRefine/OpenRefine,2012-10-15T02:22:48Z,9368,45
koral--/android-gif-drawable,https://github.com/koral--/android-gif-drawable,2013-01-30T01:37:46Z,9321,57
Activiti/Activiti,https://github.com/Activiti/Activiti,2012-09-13T11:34:43Z,9278,213
lzyzsd/JsBridge,https://github.com/lzyzsd/JsBridge,2015-02-26T12:10:58Z,9272,0
cryptomator/cryptomator,https://github.com/cryptomator/cryptomator,2014-02-02T00:43:47Z,9080,147
navasmdc/MaterialDesignLibrary,https://github.com/navasmdc/MaterialDesignLibrary,2014-09-30T07:37:17Z,9053,3
jwtk/jjwt,https://github.com/jwtk/jjwt,2014-09-13T01:06:24Z,8926,0
stanfordnlp/CoreNLP,https://github.com/stanfordnlp/CoreNLP,2013-06-27T21:13:49Z,8892,13
nathanmarz/storm,https://github.com/nathanmarz/storm,2011-09-17T07:55:13Z,8882,0
android/testing-samples,https://github.com/android/testing-samples,2014-10-11T03:51:27Z,8775,0
chrisbanes/Android-PullToRefresh,https://github.com/chrisbanes/Android-PullToRefresh,2011-11-29T09:59:56Z,8750,0
OpenFeign/feign,https://github.com/OpenFeign/feign,2013-06-26T23:28:16Z,8683,28
resilience4j/resilience4j,https://github.com/resilience4j/resilience4j,2015-06-03T09:21:01Z,8645,32
cats-oss/android-gpuimage,https://github.com/cats-oss/android-gpuimage,2012-10-04T08:11:58Z,8628,0
chrisjenx/Calligraphy,https://github.com/chrisjenx/Calligraphy,2013-12-20T02:35:45Z,8598,4
Freelander/Android_Data,https://github.com/Freelander/Android_Data,2015-04-04T01:37:44Z,8592,0
junit-team/junit4,https://github.com/junit-team/junit4,2009-01-13T03:41:26Z,8418,13
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard,2011-01-19T19:52:29Z,8365,137
languagetool-org/languagetool,https://github.com/languagetool-org/languagetool,2013-08-08T16:37:22Z,8352,0
shwenzhang/AndResGuard,https://github.com/shwenzhang/AndResGuard,2015-10-11T11:48:06Z,8208,4
florent37/MaterialViewPager,https://github.com/florent37/MaterialViewPager,2015-04-24T17:53:15Z,8189,11
signalapp/Signal-Server,https://github.com/signalapp/Signal-Server,2013-12-09T07:10:36Z,8123,0
react-native-image-picker/react-native-image-picker,https://github.com/react-native-image-picker/react-native-image-picker,2015-06-08T20:25:31Z,7947,118
guolindev/LitePal,https://github.com/guolindev/LitePal,2013-02-20T03:20:07Z,7937,0
Netflix/SimianArmy,https://github.com/Netflix/SimianArmy,2012-07-06T22:00:05Z,7924,4
HannahMitt/HomeMirror,https://github.com/HannahMitt/HomeMirror,2015-08-23T03:20:08Z,7890,0
ChrisRM/material-theme-jetbrains,https://github.com/ChrisRM/material-theme-jetbrains,2015-09-23T07:15:04Z,7885,17
JakeWharton/hugo,https://github.com/JakeWharton/hugo,2013-11-25T09:16:40Z,7878,0
apache/cassandra,https://github.com/apache/cassandra,2009-05-21T02:10:09Z,7865,0
apache/shardingsphere-elasticjob,https://github.com/apache/shardingsphere-elasticjob,2015-09-11T11:28:52Z,7835,28
json-path/JsonPath,https://github.com/json-path/JsonPath,2011-01-24T13:19:19Z,7753,8
java-native-access/jna,https://github.com/java-native-access/jna,2011-04-29T13:30:29Z,7713,0
trello/RxLifecycle,https://github.com/trello/RxLifecycle,2015-07-20T13:32:23Z,7712,22
plantuml/plantuml,https://github.com/plantuml/plantuml,2010-11-04T15:55:50Z,7707,26
dropwizard/metrics,https://github.com/dropwizard/metrics,2010-02-26T19:44:42Z,7700,104
seven332/EhViewer,https://github.com/seven332/EhViewer,2014-05-14T12:03:52Z,7675,97
SonarSource/sonarqube,https://github.com/SonarSource/sonarqube,2011-01-05T11:05:17Z,7597,36
alibaba/otter,https://github.com/alibaba/otter,2013-08-09T09:31:22Z,7574,10
kaushikgopal/RxJava-Android-Samples,https://github.com/kaushikgopal/RxJava-Android-Samples,2014-07-23T05:13:52Z,7548,0
spring-projects/spring-security,https://github.com/spring-projects/spring-security,2012-01-10T21:50:57Z,7529,132
davemorrissey/subsampling-scale-image-view,https://github.com/davemorrissey/subsampling-scale-image-view,2013-08-26T16:45:25Z,7508,21
datahub-project/datahub,https://github.com/datahub-project/datahub,2015-11-18T05:47:40Z,7403,72
lecho/hellocharts-android,https://github.com/lecho/hellocharts-android,2014-10-12T09:12:37Z,7369,14
koush/AndroidAsync,https://github.com/koush/AndroidAsync,2012-08-24T07:27:04Z,7352,0
square/dagger,https://github.com/square/dagger,2012-08-02T23:25:32Z,7292,0
google/android-classyshark,https://github.com/google/android-classyshark,2015-10-12T13:40:48Z,7276,17
Bearded-Hen/Android-Bootstrap,https://github.com/Bearded-Hen/Android-Bootstrap,2013-11-01T15:36:17Z,7270,5
pedant/sweet-alert-dialog,https://github.com/pedant/sweet-alert-dialog,2014-10-19T09:24:09Z,7265,2
leolin310148/ShortcutBadger,https://github.com/leolin310148/ShortcutBadger,2013-11-15T12:51:52Z,7257,0
google/agera,https://github.com/google/agera,2015-12-17T13:22:58Z,7244,16
cymcsg/UltimateRecyclerView,https://github.com/cymcsg/UltimateRecyclerView,2015-01-28T02:27:45Z,7230,9
crazycodeboy/TakePhoto,https://github.com/crazycodeboy/TakePhoto,2015-08-04T02:05:32Z,7218,15
kevin-wayne/algs4,https://github.com/kevin-wayne/algs4,2015-08-31T09:28:49Z,7203,0
geeeeeeeeek/WeChatLuckyMoney,https://github.com/geeeeeeeeek/WeChatLuckyMoney,2015-09-30T16:11:20Z,7164,20
swagger-api/swagger-core,https://github.com/swagger-api/swagger-core,2011-07-05T23:44:11Z,7145,85
JakeWharton/ActionBarSherlock,https://github.com/JakeWharton/ActionBarSherlock,2011-03-07T17:28:54Z,7136,32
flyway/flyway,https://github.com/flyway/flyway,2012-12-14T18:43:22Z,7062,176
abel533/Mapper,https://github.com/abel533/Mapper,2014-11-21T11:02:10Z,7057,4
ogaclejapan/SmartTabLayout,https://github.com/ogaclejapan/SmartTabLayout,2015-02-14T11:25:51Z,6996,0
testcontainers/testcontainers-java,https://github.com/testcontainers/testcontainers-java,2015-04-12T12:44:59Z,6900,61
hongyangAndroid/okhttputils,https://github.com/hongyangAndroid/okhttputils,2015-08-17T14:53:29Z,6871,0
TechEmpower/FrameworkBenchmarks,https://github.com/TechEmpower/FrameworkBenchmarks,2013-03-22T17:33:54Z,6866,15
apache/jmeter,https://github.com/apache/jmeter,2010-05-26T23:38:07Z,6846,0
NLPchina/elasticsearch-sql,https://github.com/NLPchina/elasticsearch-sql,2014-08-24T14:26:31Z,6830,196
naman14/Timber,https://github.com/naman14/Timber,2015-06-12T16:43:55Z,6825,5
DroidPluginTeam/DroidPlugin,https://github.com/DroidPluginTeam/DroidPlugin,2015-08-27T11:14:57Z,6792,2
google/closure-compiler,https://github.com/google/closure-compiler,2014-04-16T15:30:36Z,6788,0
gocd/gocd,https://github.com/gocd/gocd,2013-12-13T05:26:16Z,6744,74
hongyangAndroid/AndroidAutoLayout,https://github.com/hongyangAndroid/AndroidAutoLayout,2015-11-19T02:09:11Z,6689,0
zo0r/react-native-push-notification,https://github.com/zo0r/react-native-push-notification,2015-12-14T19:53:36Z,6574,35
apache/tomcat,https://github.com/apache/tomcat,2011-10-01T07:00:19Z,6560,0
NanoHttpd/nanohttpd,https://github.com/NanoHttpd/nanohttpd,2012-08-10T21:52:42Z,6551,3
