nameWithOwner,url,createdAt,stargazers,releases
jeremylong/DependencyCheck,https://github.com/jeremylong/DependencyCheck,2012-09-03T20:43:30Z,4916,49
google/google-java-format,https://github.com/google/google-java-format,2015-05-11T20:38:28Z,4890,18
JodaOrg/joda-time,https://github.com/JodaOrg/joda-time,2011-05-16T16:49:57Z,4873,42
andkulikov/Transitions-Everywhere,https://github.com/andkulikov/Transitions-Everywhere,2014-10-15T03:37:03Z,4858,23
mcxiaoke/packer-ng-plugin,https://github.com/mcxiaoke/packer-ng-plugin,2015-11-24T04:08:08Z,4820,1
claritylab/lucida,https://github.com/claritylab/lucida,2014-05-13T17:12:49Z,4819,0
OpenTSDB/opentsdb,https://github.com/OpenTSDB/opentsdb,2010-08-27T02:05:20Z,4801,26
apache/hbase,https://github.com/apache/hbase,2014-05-23T07:00:07Z,4797,31
youtube/api-samples,https://github.com/youtube/api-samples,2013-12-09T18:41:41Z,4790,0
etsy/AndroidStaggeredGrid,https://github.com/etsy/AndroidStaggeredGrid,2013-12-09T19:43:45Z,4773,7
apache/camel,https://github.com/apache/camel,2009-05-21T00:25:36Z,4770,0
AntennaPod/AntennaPod,https://github.com/AntennaPod/AntennaPod,2012-07-31T10:25:08Z,4760,48
saiwu-bigkoo/Android-ConvenientBanner,https://github.com/saiwu-bigkoo/Android-ConvenientBanner,2014-12-23T06:12:33Z,4751,0
spring-projects/spring-data-examples,https://github.com/spring-projects/spring-data-examples,2014-01-30T15:42:43Z,4740,0
pardom-zz/ActiveAndroid,https://github.com/pardom-zz/ActiveAndroid,2012-11-15T18:10:45Z,4710,0
apache/hive,https://github.com/apache/hive,2009-05-21T02:31:01Z,4709,0
spring-cloud/spring-cloud-netflix,https://github.com/spring-cloud/spring-cloud-netflix,2014-07-11T15:46:12Z,4703,3
hongyangAndroid/baseAdapter,https://github.com/hongyangAndroid/baseAdapter,2015-08-03T02:55:51Z,4695,0
gabrielemariotti/cardslib,https://github.com/gabrielemariotti/cardslib,2013-09-20T21:57:19Z,4694,27
deathmarine/Luyten,https://github.com/deathmarine/Luyten,2013-07-11T10:57:28Z,4680,17
jankotek/mapdb,https://github.com/jankotek/mapdb,2012-08-17T15:28:54Z,4662,0
wdullaer/MaterialDateTimePicker,https://github.com/wdullaer/MaterialDateTimePicker,2015-01-03T19:41:03Z,4659,54
spring-attic/spring-security-oauth,https://github.com/spring-attic/spring-security-oauth,2011-07-26T18:08:49Z,4633,0
kyleduo/SwitchButton,https://github.com/kyleduo/SwitchButton,2014-09-09T07:20:43Z,4620,0
javaparser/javaparser,https://github.com/javaparser/javaparser,2011-10-30T14:03:44Z,4606,40
square/sqlbrite,https://github.com/square/sqlbrite,2015-02-19T04:38:37Z,4598,9
reactive-streams/reactive-streams-jvm,https://github.com/reactive-streams/reactive-streams-jvm,2014-02-28T13:16:15Z,4591,0
go-lang-plugin-org/go-lang-idea-plugin,https://github.com/go-lang-plugin-org/go-lang-idea-plugin,2010-08-29T08:20:01Z,4582,21
cglib/cglib,https://github.com/cglib/cglib,2014-03-29T13:48:30Z,4582,15
chentao0707/SimplifyReader,https://github.com/chentao0707/SimplifyReader,2015-08-17T08:22:53Z,4574,0
orientechnologies/orientdb,https://github.com/orientechnologies/orientdb,2012-12-09T20:33:47Z,4570,198
pili-engineering/PLDroidPlayer,https://github.com/pili-engineering/PLDroidPlayer,2015-06-02T04:41:29Z,4565,42
coobird/thumbnailator,https://github.com/coobird/thumbnailator,2015-07-25T05:38:33Z,4562,0
Flipboard/bottomsheet,https://github.com/Flipboard/bottomsheet,2015-04-23T17:37:32Z,4545,10
jdamcd/android-crop,https://github.com/jdamcd/android-crop,2014-03-13T10:24:43Z,4539,6
bitcoinj/bitcoinj,https://github.com/bitcoinj/bitcoinj,2013-11-19T04:33:23Z,4535,1
meefik/linuxdeploy,https://github.com/meefik/linuxdeploy,2012-08-21T04:49:14Z,4521,37
JakeWharton/NineOldAndroids,https://github.com/JakeWharton/NineOldAndroids,2011-12-08T19:46:37Z,4512,0
zhanglei-workspace/shopping-management-system,https://github.com/zhanglei-workspace/shopping-management-system,2015-11-16T12:53:21Z,4494,0
puniverse/quasar,https://github.com/puniverse/quasar,2013-03-27T14:51:24Z,4491,18
firebase/FirebaseUI-Android,https://github.com/firebase/FirebaseUI-Android,2015-07-09T17:31:09Z,4486,65
apache/pinot,https://github.com/apache/pinot,2014-05-19T23:27:48Z,4463,16
alibaba/dexposed,https://github.com/alibaba/dexposed,2015-06-30T02:59:16Z,4459,0
brianfrankcooper/YCSB,https://github.com/brianfrankcooper/YCSB,2010-04-19T20:52:11Z,4446,55
square/android-times-square,https://github.com/square/android-times-square,2013-01-30T20:28:27Z,4441,0
castorflex/SmoothProgressBar,https://github.com/castorflex/SmoothProgressBar,2013-11-27T20:32:16Z,4439,9
ronmamo/reflections,https://github.com/ronmamo/reflections,2013-04-16T16:19:26Z,4423,3
apache/ignite,https://github.com/apache/ignite,2015-02-19T08:00:05Z,4399,0
Netflix/ribbon,https://github.com/Netflix/ribbon,2013-01-15T01:08:04Z,4397,41
TeamAmaze/AmazeFileManager,https://github.com/TeamAmaze/AmazeFileManager,2014-07-14T19:47:53Z,4391,65
yasserg/crawler4j,https://github.com/yasserg/crawler4j,2011-12-31T22:49:18Z,4369,3
citerus/dddsample-core,https://github.com/citerus/dddsample-core,2015-01-31T23:21:37Z,4369,0
CellularPrivacy/Android-IMSI-Catcher-Detector,https://github.com/CellularPrivacy/Android-IMSI-Catcher-Detector,2013-11-23T10:04:14Z,4363,48
j-easy/easy-rules,https://github.com/j-easy/easy-rules,2013-03-10T14:38:26Z,4331,10
mcxiaoke/android-volley,https://github.com/mcxiaoke/android-volley,2013-05-21T05:35:26Z,4312,0
bingoogolapple/BGARefreshLayout-Android,https://github.com/bingoogolapple/BGARefreshLayout-Android,2015-05-28T16:17:00Z,4295,4
cjlin1/libsvm,https://github.com/cjlin1/libsvm,2013-09-10T14:32:07Z,4282,0
aporter/coursera-android,https://github.com/aporter/coursera-android,2014-01-05T09:55:31Z,4280,0
tuguangquan/mybatis,https://github.com/tuguangquan/mybatis,2014-11-03T04:51:06Z,4272,0
airbnb/DeepLinkDispatch,https://github.com/airbnb/DeepLinkDispatch,2015-06-11T21:16:48Z,4269,22
bisq-network/bisq,https://github.com/bisq-network/bisq,2014-03-12T09:42:29Z,4261,130
JSQLParser/JSqlParser,https://github.com/JSQLParser/JSqlParser,2011-06-23T22:51:52Z,4229,30
azkaban/azkaban,https://github.com/azkaban/azkaban,2012-10-18T01:34:53Z,4229,48
grantland/android-autofittextview,https://github.com/grantland/android-autofittextview,2011-02-14T06:00:52Z,4223,1
stleary/JSON-java,https://github.com/stleary/JSON-java,2010-12-21T17:46:09Z,4221,17
rstudio/rstudio,https://github.com/rstudio/rstudio,2010-12-07T19:10:25Z,4212,0
react-native-webrtc/react-native-webrtc,https://github.com/react-native-webrtc/react-native-webrtc,2015-09-27T10:57:30Z,4207,60
phishman3579/java-algorithms-implementation,https://github.com/phishman3579/java-algorithms-implementation,2013-11-20T03:30:19Z,4203,0
pmd/pmd,https://github.com/pmd/pmd,2012-07-11T18:03:00Z,4200,85
querydsl/querydsl,https://github.com/querydsl/querydsl,2011-08-05T06:46:32Z,4180,34
chewiebug/GCViewer,https://github.com/chewiebug/GCViewer,2011-10-23T09:01:04Z,4178,5
Jacksgong/JKeyboardPanelSwitch,https://github.com/Jacksgong/JKeyboardPanelSwitch,2015-07-01T17:42:01Z,4169,14
line/armeria,https://github.com/line/armeria,2015-11-16T04:04:01Z,4165,213
dreamhead/moco,https://github.com/dreamhead/moco,2012-10-18T09:09:51Z,4140,0
bingoogolapple/BGABanner-Android,https://github.com/bingoogolapple/BGABanner-Android,2014-10-25T17:15:18Z,4139,0
LWJGL/lwjgl3,https://github.com/LWJGL/lwjgl3,2012-12-23T15:40:04Z,4135,16
CalebFenton/simplify,https://github.com/CalebFenton/simplify,2014-01-16T05:14:02Z,4133,9
ongakuer/CircleIndicator,https://github.com/ongakuer/CircleIndicator,2014-07-30T14:02:56Z,4129,7
pedrovgs/AndroidWiFiADB,https://github.com/pedrovgs/AndroidWiFiADB,2015-10-18T21:58:45Z,4124,8
mock-server/mockserver,https://github.com/mock-server/mockserver,2013-02-26T06:09:52Z,4079,0
Fuzion24/JustTrustMe,https://github.com/Fuzion24/JustTrustMe,2014-07-24T23:45:05Z,4069,1
bytedeco/javacpp,https://github.com/bytedeco/javacpp,2014-04-21T12:47:21Z,4068,9
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper,2012-02-18T19:57:38Z,4065,40
apache/shiro,https://github.com/apache/shiro,2009-08-29T08:00:17Z,4061,0
Yalantis/Phoenix,https://github.com/Yalantis/Phoenix,2015-01-12T14:11:20Z,4040,1
Freeyourgadget/Gadgetbridge,https://github.com/Freeyourgadget/Gadgetbridge,2015-01-05T23:19:03Z,4036,0
DiUS/java-faker,https://github.com/DiUS/java-faker,2011-06-06T01:01:21Z,4029,0
Manabu-GT/ExpandableTextView,https://github.com/Manabu-GT/ExpandableTextView,2014-05-17T19:40:15Z,4021,4
makovkastar/FloatingActionButton,https://github.com/makovkastar/FloatingActionButton,2014-07-22T13:29:55Z,4016,0
BoltsFramework/Bolts-Android,https://github.com/BoltsFramework/Bolts-Android,2014-01-30T04:58:14Z,4013,11
powermock/powermock,https://github.com/powermock/powermock,2014-05-28T07:53:53Z,3988,16
eirslett/frontend-maven-plugin,https://github.com/eirslett/frontend-maven-plugin,2013-08-30T14:44:38Z,3987,0
traccar/traccar,https://github.com/traccar/traccar,2012-04-16T08:33:49Z,3986,42
oblac/jodd,https://github.com/oblac/jodd,2012-09-07T20:26:48Z,3962,37
killbill/killbill,https://github.com/killbill/killbill,2012-10-21T20:55:05Z,3956,137
mcharmas/Android-ReactiveLocation,https://github.com/mcharmas/Android-ReactiveLocation,2014-01-28T15:37:47Z,2110,0
modelmapper/modelmapper,https://github.com/modelmapper/modelmapper,2010-10-24T21:46:09Z,2110,0
AnderWeb/discreteSeekBar,https://github.com/AnderWeb/discreteSeekBar,2014-11-28T18:11:22Z,2108,0
sarxos/webcam-capture,https://github.com/sarxos/webcam-capture,2012-05-25T20:26:28Z,2107,11
Aspsine/SwipeToLoadLayout,https://github.com/Aspsine/SwipeToLoadLayout,2015-09-02T02:45:40Z,2107,5
qos-ch/slf4j,https://github.com/qos-ch/slf4j,2009-08-20T16:25:49Z,2104,0
chrisbanes/philm,https://github.com/chrisbanes/philm,2014-06-18T16:08:18Z,2101,0
twitter-archive/commons,https://github.com/twitter-archive/commons,2011-03-01T00:10:02Z,2095,0
moquette-io/moquette,https://github.com/moquette-io/moquette,2014-09-30T20:14:41Z,2092,8
spotify/helios,https://github.com/spotify/helios,2014-05-26T02:29:06Z,2092,423
jeecgboot/jeecg,https://github.com/jeecgboot/jeecg,2013-01-01T05:35:43Z,2089,0
lendylongli/qianghongbao,https://github.com/lendylongli/qianghongbao,2015-02-20T03:24:57Z,2087,0
mthli/Knife,https://github.com/mthli/Knife,2015-12-09T01:53:30Z,2085,2
cymcsg/UltimateAndroid,https://github.com/cymcsg/UltimateAndroid,2014-06-10T01:42:20Z,2085,0
Telegram-FOSS-Team/Telegram-FOSS,https://github.com/Telegram-FOSS-Team/Telegram-FOSS,2014-02-20T10:53:44Z,2080,59
tvbarthel/BlurDialogFragment,https://github.com/tvbarthel/BlurDialogFragment,2014-08-09T17:15:04Z,2079,3
google/santa-tracker-android,https://github.com/google/santa-tracker-android,2015-03-23T23:58:50Z,2076,4
zzz40500/AndroidSweetSheet,https://github.com/zzz40500/AndroidSweetSheet,2015-08-06T19:57:03Z,2070,1
reark/reark,https://github.com/reark/reark,2013-12-28T12:09:31Z,2070,1
confluentinc/kafka-rest,https://github.com/confluentinc/kafka-rest,2014-11-19T17:34:24Z,2067,0
siwangqishiq/ImageEditor-Android,https://github.com/siwangqishiq/ImageEditor-Android,2015-08-10T03:09:30Z,2066,0
HdrHistogram/HdrHistogram,https://github.com/HdrHistogram/HdrHistogram,2012-09-11T00:14:02Z,2060,1
androidquery/androidquery,https://github.com/androidquery/androidquery,2011-09-09T17:00:40Z,2058,1
baoyongzhang/android-PullRefreshLayout,https://github.com/baoyongzhang/android-PullRefreshLayout,2014-11-01T09:50:10Z,2058,0
fossasia/open-event-droidgen,https://github.com/fossasia/open-event-droidgen,2015-05-08T09:04:11Z,2051,12
toolbox4minecraft/amidst,https://github.com/toolbox4minecraft/amidst,2015-12-30T19:32:21Z,2049,31
speedment/speedment,https://github.com/speedment/speedment,2015-01-19T16:41:52Z,2047,68
M66B/XPrivacy,https://github.com/M66B/XPrivacy,2013-05-26T14:08:37Z,2046,168
Froussios/Intro-To-RxJava,https://github.com/Froussios/Intro-To-RxJava,2015-03-27T14:08:35Z,2046,0
find-sec-bugs/find-sec-bugs,https://github.com/find-sec-bugs/find-sec-bugs,2012-05-17T04:07:57Z,2044,18
bonnyfone/vectalign,https://github.com/bonnyfone/vectalign,2015-09-03T21:32:10Z,2042,0
apache/mahout,https://github.com/apache/mahout,2014-05-23T07:00:07Z,2042,0
amaembo/streamex,https://github.com/amaembo/streamex,2015-04-10T17:02:32Z,2037,2
shyiko/mysql-binlog-connector-java,https://github.com/shyiko/mysql-binlog-connector-java,2013-07-11T15:05:22Z,2035,16
ApmeM/android-flowlayout,https://github.com/ApmeM/android-flowlayout,2011-09-10T17:30:54Z,2032,0
hamcrest/JavaHamcrest,https://github.com/hamcrest/JavaHamcrest,2012-04-01T19:38:04Z,2031,7
connectbot/connectbot,https://github.com/connectbot/connectbot,2009-02-06T17:52:35Z,2029,522
Jude95/EasyRecyclerView,https://github.com/Jude95/EasyRecyclerView,2015-07-18T13:11:48Z,2028,0
hekailiang/squirrel,https://github.com/hekailiang/squirrel,2013-03-31T02:24:18Z,2023,0
DozerMapper/dozer,https://github.com/DozerMapper/dozer,2012-01-23T21:11:58Z,2013,9
qiujiayu/AutoLoadCache,https://github.com/qiujiayu/AutoLoadCache,2015-02-27T06:18:19Z,2009,19
KieronQuinn/PersistentSearch,https://github.com/KieronQuinn/PersistentSearch,2015-03-05T20:27:33Z,2002,0
scottyab/rootbeer,https://github.com/scottyab/rootbeer,2015-06-19T09:01:55Z,1997,3
JorgeCastilloPrz/AndroidFillableLoaders,https://github.com/JorgeCastilloPrz/AndroidFillableLoaders,2015-08-13T13:34:29Z,1996,0
Athou/commafeed,https://github.com/Athou/commafeed,2013-03-20T19:32:09Z,1991,8
romainpiel/Shimmer-android,https://github.com/romainpiel/Shimmer-android,2014-03-06T16:54:23Z,1990,0
mabe02/lanterna,https://github.com/mabe02/lanterna,2015-06-29T06:06:29Z,1987,0
tjerkw/Android-SlideExpandableListView,https://github.com/tjerkw/Android-SlideExpandableListView,2012-06-22T20:28:16Z,1985,0
VoltDB/voltdb,https://github.com/VoltDB/voltdb,2011-09-23T18:46:12Z,1982,0
konmik/nucleus,https://github.com/konmik/nucleus,2014-11-26T18:45:44Z,1982,0
normanmaurer/netty-in-action,https://github.com/normanmaurer/netty-in-action,2012-10-23T05:56:42Z,1981,0
novoda/android-demos,https://github.com/novoda/android-demos,2009-07-26T09:42:10Z,1980,2
kermitt2/grobid,https://github.com/kermitt2/grobid,2012-09-13T15:48:54Z,1979,18
white-cat/ThinkAndroid,https://github.com/white-cat/ThinkAndroid,2013-05-13T15:26:30Z,1978,0
jOOQ/jOOL,https://github.com/jOOQ/jOOL,2014-03-02T14:27:38Z,1977,0
PomepuyN/BlurEffectForAndroidDesign,https://github.com/PomepuyN/BlurEffectForAndroidDesign,2013-06-21T15:05:24Z,1971,0
fqrouter/fqrouter,https://github.com/fqrouter/fqrouter,2011-04-10T03:04:06Z,1969,0
card-io/card.io-Android-SDK,https://github.com/card-io/card.io-Android-SDK,2013-06-11T17:27:45Z,1968,22
HotswapProjects/HotswapAgent,https://github.com/HotswapProjects/HotswapAgent,2013-11-20T16:15:13Z,1961,14
pf4j/pf4j,https://github.com/pf4j/pf4j,2012-10-10T13:10:32Z,1959,0
googlesamples/android-testing-templates,https://github.com/googlesamples/android-testing-templates,2015-02-24T01:57:36Z,1957,0
TakahikoKawasaki/nv-websocket-client,https://github.com/TakahikoKawasaki/nv-websocket-client,2015-03-26T08:56:56Z,1956,0
phonegap/phonegap-plugin-push,https://github.com/phonegap/phonegap-plugin-push,2015-04-06T17:13:51Z,1955,0
osfans/trime,https://github.com/osfans/trime,2015-05-28T07:43:37Z,1955,16
nkzawa/socket.io-android-chat,https://github.com/nkzawa/socket.io-android-chat,2015-01-10T19:13:13Z,1952,0
mymmsc/books,https://github.com/mymmsc/books,2015-02-08T08:31:19Z,1951,0
liferay/liferay-portal,https://github.com/liferay/liferay-portal,2009-09-25T22:55:58Z,1948,98
commonmark/commonmark-java,https://github.com/commonmark/commonmark-java,2015-07-22T01:08:55Z,1946,33
Yalantis/StarWars.Android,https://github.com/Yalantis/StarWars.Android,2015-12-14T08:50:11Z,1946,0
kymjs/KJFrameForAndroid,https://github.com/kymjs/KJFrameForAndroid,2014-06-08T13:30:46Z,1945,22
gre/gl-react-native-v2,https://github.com/gre/gl-react-native-v2,2015-08-17T15:49:08Z,1938,11
JetBrains/intellij-plugins,https://github.com/JetBrains/intellij-plugins,2012-08-17T14:31:20Z,1938,0
prometheus/client_java,https://github.com/prometheus/client_java,2013-02-03T22:55:49Z,1935,34
recruit-lifestyle/WaveSwipeRefreshLayout,https://github.com/recruit-lifestyle/WaveSwipeRefreshLayout,2015-07-28T05:36:59Z,1934,7
decaywood/XueQiuSuperSpider,https://github.com/decaywood/XueQiuSuperSpider,2015-11-24T07:08:18Z,1933,0
tinkerpop/gremlin,https://github.com/tinkerpop/gremlin,2009-11-20T05:35:34Z,1929,0
boycy815/PinchImageView,https://github.com/boycy815/PinchImageView,2015-06-04T03:31:52Z,1927,0
confluentinc/schema-registry,https://github.com/confluentinc/schema-registry,2014-12-09T22:38:11Z,1926,0
marytts/marytts,https://github.com/marytts/marytts,2011-12-20T16:44:48Z,1922,28
detro/ghostdriver,https://github.com/detro/ghostdriver,2012-03-21T19:09:32Z,1922,9
apache/pdfbox,https://github.com/apache/pdfbox,2009-09-26T08:00:19Z,1921,0
apache/parquet-mr,https://github.com/apache/parquet-mr,2014-06-10T07:00:07Z,1920,0
scouter-project/scouter,https://github.com/scouter-project/scouter,2015-06-04T01:19:31Z,1916,86
ratpack/ratpack,https://github.com/ratpack/ratpack,2013-01-22T23:04:54Z,1914,69
protostuff/protostuff,https://github.com/protostuff/protostuff,2014-01-20T01:22:51Z,1913,17
UniversalMediaServer/UniversalMediaServer,https://github.com/UniversalMediaServer/UniversalMediaServer,2012-06-07T22:23:22Z,1910,103
ysc/QuestionAnsweringSystem,https://github.com/ysc/QuestionAnsweringSystem,2014-07-28T20:27:58Z,1905,0
ninjaframework/ninja,https://github.com/ninjaframework/ninja,2012-06-09T21:06:05Z,1901,0
Wizcorp/phonegap-facebook-plugin,https://github.com/Wizcorp/phonegap-facebook-plugin,2011-05-31T01:02:23Z,1900,11
elastic/elasticsearch-hadoop,https://github.com/elastic/elasticsearch-hadoop,2013-03-11T18:57:37Z,1899,108
dlazaro66/QRCodeReaderView,https://github.com/dlazaro66/QRCodeReaderView,2013-07-15T15:18:11Z,1894,0
bcgit/bc-java,https://github.com/bcgit/bc-java,2013-06-01T02:38:42Z,1893,0
joyoyao/superCleanMaster,https://github.com/joyoyao/superCleanMaster,2015-02-12T03:37:41Z,1891,0
unclebob/fitnesse,https://github.com/unclebob/fitnesse,2008-12-06T19:38:59Z,1891,6
sephiroth74/ImageViewZoom,https://github.com/sephiroth74/ImageViewZoom,2012-06-14T00:11:22Z,1890,0
wangchenyan/ponymusic,https://github.com/wangchenyan/ponymusic,2015-11-26T06:18:37Z,1889,1
sanluan/PublicCMS,https://github.com/sanluan/PublicCMS,2015-08-07T08:21:20Z,1887,19
evant/binding-collection-adapter,https://github.com/evant/binding-collection-adapter,2015-05-29T19:29:31Z,1883,0
plutext/docx4j,https://github.com/plutext/docx4j,2012-05-11T22:13:30Z,1883,0
psal/anonymouth,https://github.com/psal/anonymouth,2013-06-24T19:30:34Z,1882,0
spring-projects/spring-retry,https://github.com/spring-projects/spring-retry,2010-12-21T16:41:48Z,1881,7
ZhaoKaiQiang/KLog,https://github.com/ZhaoKaiQiang/KLog,2015-11-12T10:21:33Z,1881,0
zhegexiaohuozi/SeimiCrawler,https://github.com/zhegexiaohuozi/SeimiCrawler,2015-11-06T16:06:36Z,1879,13
Kaopiz/android-segmented-control,https://github.com/Kaopiz/android-segmented-control,2014-02-06T17:45:28Z,1878,0
friendlyrobotnyc/TinyDancer,https://github.com/friendlyrobotnyc/TinyDancer,2015-09-11T01:27:25Z,1878,2
open-keychain/open-keychain,https://github.com/open-keychain/open-keychain,2012-03-09T09:10:42Z,1876,0
hitherejoe/Android-Boilerplate,https://github.com/hitherejoe/Android-Boilerplate,2015-04-03T10:04:38Z,1875,0
wingjay/jianshi,https://github.com/wingjay/jianshi,2015-10-04T11:49:14Z,1872,7
linger1216/labelview,https://github.com/linger1216/labelview,2015-02-13T14:56:41Z,1869,3
apache/ambari,https://github.com/apache/ambari,2011-09-23T07:00:08Z,1866,0
Netflix/EVCache,https://github.com/Netflix/EVCache,2013-02-08T22:52:57Z,1866,304
SkyTubeTeam/SkyTube,https://github.com/SkyTubeTeam/SkyTube,2015-11-20T11:48:20Z,1865,45
mathew-kurian/TextJustify-Android,https://github.com/mathew-kurian/TextJustify-Android,2013-09-13T04:19:31Z,1865,5
MiCode/Notes,https://github.com/MiCode/Notes,2011-12-27T02:46:59Z,1865,0
ehcache/ehcache3,https://github.com/ehcache/ehcache3,2014-02-26T20:39:16Z,1865,44
sleuthkit/autopsy,https://github.com/sleuthkit/autopsy,2011-10-05T02:11:11Z,1863,23
parse-community/Parse-SDK-Android,https://github.com/parse-community/Parse-SDK-Android,2015-08-12T22:57:48Z,1858,65
spring-cloud/spring-cloud-config,https://github.com/spring-cloud/spring-cloud-config,2014-06-13T16:59:44Z,1856,3
AigeStudio/DatePicker,https://github.com/AigeStudio/DatePicker,2015-03-27T14:16:33Z,1855,0
opentripplanner/OpenTripPlanner,https://github.com/opentripplanner/OpenTripPlanner,2011-07-18T16:15:38Z,1848,4
flavienlaurent/datetimepicker,https://github.com/flavienlaurent/datetimepicker,2013-06-02T18:22:24Z,1846,0
lyft/scissors,https://github.com/lyft/scissors,2015-11-18T02:06:10Z,1846,0
airbnb/AirMapView,https://github.com/airbnb/AirMapView,2015-02-18T17:50:15Z,1842,3
nelenkov/android-backup-extractor,https://github.com/nelenkov/android-backup-extractor,2012-06-08T13:33:46Z,1839,54
Karumi/Rosie,https://github.com/Karumi/Rosie,2015-11-20T10:22:54Z,1838,9
eclipse/paho.mqtt.java,https://github.com/eclipse/paho.mqtt.java,2015-12-16T19:13:48Z,1837,7
romainpiel/Titanic,https://github.com/romainpiel/Titanic,2014-03-14T14:35:28Z,1837,0
Yalantis/FlipViewPager.Draco,https://github.com/Yalantis/FlipViewPager.Draco,2015-04-10T15:10:54Z,1837,0
felipecsl/AsymmetricGridView,https://github.com/felipecsl/AsymmetricGridView,2014-04-08T19:25:37Z,1836,0
matrixxun/ProductTour,https://github.com/matrixxun/ProductTour,2015-06-08T08:19:37Z,1829,0
hellokaton/wechat-api,https://github.com/hellokaton/wechat-api,2014-11-06T05:41:04Z,1826,3
wangdan/AisenWeiBo,https://github.com/wangdan/AisenWeiBo,2014-10-10T03:22:08Z,1826,0
cbeust/jcommander,https://github.com/cbeust/jcommander,2010-07-13T05:40:31Z,1823,0
mattdesl/lwjgl-basics,https://github.com/mattdesl/lwjgl-basics,2012-11-05T01:42:27Z,1820,0
cbeust/testng,https://github.com/cbeust/testng,2010-06-28T23:10:17Z,1819,4
hongyangAndroid/android-percent-support-extend,https://github.com/hongyangAndroid/android-percent-support-extend,2015-06-30T12:39:20Z,1819,0
sharpie7/circuitjs1,https://github.com/sharpie7/circuitjs1,2015-06-15T02:11:14Z,1813,0
p6spy/p6spy,https://github.com/p6spy/p6spy,2010-12-28T21:35:51Z,1812,25
webbukkit/dynmap,https://github.com/webbukkit/dynmap,2010-12-27T18:47:24Z,1808,8
Azure/azure-sdk-for-java,https://github.com/Azure/azure-sdk-for-java,2011-12-06T23:33:56Z,1808,1000
goldmansachs/gs-collections,https://github.com/goldmansachs/gs-collections,2011-12-23T19:17:17Z,1807,15
redsolution/xabber-android,https://github.com/redsolution/xabber-android,2013-01-29T12:16:51Z,1799,28
pinterest/secor,https://github.com/pinterest/secor,2014-04-15T22:26:44Z,1796,0
pakerfeldt/android-viewflow,https://github.com/pakerfeldt/android-viewflow,2011-05-07T06:09:24Z,1794,0
OryxProject/oryx,https://github.com/OryxProject/oryx,2014-07-25T20:08:44Z,1794,24
jaredrummler/AndroidProcesses,https://github.com/jaredrummler/AndroidProcesses,2015-10-20T13:24:30Z,1791,0
flyingsaucerproject/flyingsaucer,https://github.com/flyingsaucerproject/flyingsaucer,2010-04-19T23:26:11Z,1791,18
qdrzwd/VideoRecorder,https://github.com/qdrzwd/VideoRecorder,2014-03-22T14:44:01Z,1790,0
tuesda/CircleRefreshLayout,https://github.com/tuesda/CircleRefreshLayout,2015-07-20T18:19:49Z,1789,0
iPaulPro/aFileChooser,https://github.com/iPaulPro/aFileChooser,2011-12-16T13:56:07Z,1788,0
videlalvaro/gifsockets,https://github.com/videlalvaro/gifsockets,2012-09-14T11:39:00Z,1786,0
jcoleman/tomcat-redis-session-manager,https://github.com/jcoleman/tomcat-redis-session-manager,2011-08-04T19:25:11Z,1786,0
notnoop/java-apns,https://github.com/notnoop/java-apns,2009-11-14T00:52:39Z,1783,5
iiordanov/remote-desktop-clients,https://github.com/iiordanov/remote-desktop-clients,2012-02-26T19:22:07Z,1782,64
signalapp/libsignal-protocol-java,https://github.com/signalapp/libsignal-protocol-java,2014-12-08T23:57:36Z,1782,0
henrytao-me/smooth-app-bar-layout,https://github.com/henrytao-me/smooth-app-bar-layout,2015-09-27T08:25:23Z,1782,0
zzz40500/android-shapeLoadingView,https://github.com/zzz40500/android-shapeLoadingView,2015-04-06T04:56:31Z,1781,1
Q42/AndroidScrollingImageView,https://github.com/Q42/AndroidScrollingImageView,2015-08-04T14:31:14Z,1780,8
medyo/Fancybuttons,https://github.com/medyo/Fancybuttons,2014-07-08T00:00:48Z,1778,11
geometer/FBReaderJ,https://github.com/geometer/FBReaderJ,2010-09-29T18:35:28Z,1777,0
apache/drill,https://github.com/apache/drill,2012-09-05T07:00:26Z,1776,28
tdunning/t-digest,https://github.com/tdunning/t-digest,2013-11-19T00:07:15Z,1776,0
dmytrodanylyk/shadow-layout,https://github.com/dmytrodanylyk/shadow-layout,2015-03-09T19:48:01Z,1776,0
RichardWarburton/java-8-lambdas-exercises,https://github.com/RichardWarburton/java-8-lambdas-exercises,2014-02-09T23:40:54Z,1771,0
spring-projects/spring-session,https://github.com/spring-projects/spring-session,2014-06-20T21:16:58Z,1771,45
mikepenz/LollipopShowcase,https://github.com/mikepenz/LollipopShowcase,2014-10-22T19:57:16Z,1770,6
torodb/stampede,https://github.com/torodb/stampede,2014-10-23T17:04:21Z,1768,8
GlowstoneMC/Glowstone,https://github.com/GlowstoneMC/Glowstone,2015-04-05T22:30:55Z,1768,28
stephentuso/welcome-android,https://github.com/stephentuso/welcome-android,2015-12-05T04:34:06Z,1767,24
JoanZapata/base-adapter-helper,https://github.com/JoanZapata/base-adapter-helper,2013-04-05T11:35:13Z,1762,0
artem-zinnatullin/qualitymatters,https://github.com/artem-zinnatullin/qualitymatters,2015-11-22T03:42:39Z,1758,0
